,name,sex,year_count,year_min,year_max,pct_sum,pct_max
233,Joey,M,74,1940,2013,2.673540412782127,0.07401948075525351
234,Ayla,F,36,1963,2013,0.7390257861208207,0.07346452297150581
235,Sammy,M,74,1940,2013,1.9910096779257984,0.0732931021952208
236,Bennie,M,74,1940,2013,1.5185623907318033,0.07274584947390858
237,Josie,F,74,1940,2013,1.9603525303672236,0.07249412911718134
238,Jana,F,74,1940,2013,2.473123530442017,0.07233915286552768
239,Judah,M,68,1940,2013,0.6165175512294598,0.07063977083218673
240,Ben,M,74,1940,2013,2.3929925824345606,0.07032961722566487
241,Benny,M,74,1940,2013,1.8974240128157454,0.07032961722566487
242,Susie,F,74,1940,2013,2.0081393351567964,0.07007893299172993
243,Jodie,F,74,1940,2013,1.5485292419687586,0.06998835344731826
244,Myra,F,74,1940,2013,2.3208504021016387,0.06871330631695938
245,Betsy,F,74,1940,2013,2.3258377460213557,0.06871055013423275
246,Alisa,F,69,1945,2013,1.8571083148289538,0.06601464335217097
247,Miriam,F,74,1940,2013,3.7010964521984846,0.0650513431221155
248,Bette,F,63,1940,2013,0.7503834027309906,0.06376167652100899
249,Sharron,F,73,1940,2012,0.9584224500626014,0.06236389259647408
250,Jonas,M,74,1940,2013,0.9665353494560601,0.061498832651950504
251,Joaquin,M,74,1940,2013,1.1611442161880245,0.061105868865037084
252,Rachelle,F,74,1940,2013,1.9227561083712144,0.060557430115491175
253,Annika,F,52,1961,2013,0.8391298750299215,0.059665380765393426
254,Mamie,F,74,1940,2013,0.8108460680481441,0.05903858937130462
255,Sharyn,F,68,1940,2009,0.4329691433806322,0.05875827244558356
256,Ada,F,74,1940,2013,1.42339979484297,0.05816394360284085
257,Dane,M,74,1940,2013,1.540982847992759,0.05804395144525634
258,Adan,M,74,1940,2013,1.1645433003530394,0.057855689660877424
259,Saul,M,74,1940,2013,1.652988930765001,0.05677161172132866
260,Ira,M,74,1940,2013,1.506620095814623,0.05504314730922299
261,Beulah,F,72,1940,2013,0.48872894617982826,0.054315502221600254
262,Briella,F,20,1993,2013,0.1885410038424692,0.05332166322129642
263,Tammi,F,61,1950,2013,0.8095876889295779,0.0532899209492191
264,Talia,F,49,1960,2013,1.1987288028716645,0.05201926348574868
265,Lia,F,68,1945,2013,0.8019065779387808,0.0516021202534897
266,Macie,F,74,1940,2013,0.7408874445288528,0.051535271698746374
267,Muriel,F,74,1940,2013,0.63476657147259,0.050729454570898794
268,Samara,F,65,1949,2013,0.669814291663525,0.04978434685307612
269,Nehemiah,M,73,1940,2013,0.5976013571631309,0.04910586187199667
270,Jayson,M,74,1940,2013,1.5558288343304585,0.048669177668636605
271,Anya,F,60,1943,2013,0.7523451691880316,0.048518891258740496
272,Elisa,F,74,1940,2013,2.086686660386289,0.04840552873336203
273,Reba,F,74,1940,2013,0.8444351115163092,0.04810551726550747
274,Tommie,M,74,1940,2013,1.1521710698444834,0.047979468929410636
275,Bart,M,71,1940,2012,0.8042181412754388,0.04785693728725693
276,Moises,M,74,1940,2013,1.2308869043015904,0.0469834028038582
277,Elle,F,33,1976,2013,0.5353179613085007,0.046921396956159885
278,Jerry,F,67,1940,2008,0.637054604427366,0.045656509113808905
279,Matt,M,74,1940,2013,1.0843161616303016,0.045615383745774785
280,Simone,F,74,1940,2013,1.2764129075067867,0.04483969807936626
281,Gideon,M,74,1940,2013,0.46663349960081074,0.04435023433488274
282,Mickey,M,74,1940,2013,1.3078249464421596,0.04383562152185218
283,Zachariah,M,58,1945,2013,1.2495873331829028,0.043780753600015224
284,Shaina,F,46,1968,2013,0.6278457998106938,0.04361804175708203
285,Anissa,F,48,1966,2013,0.6684589910619391,0.043584562768683804
286,Susanne,F,74,1940,2013,1.3596043571497964,0.043280509895324816
287,Abram,M,74,1940,2013,0.5910653438469468,0.042800647834025395
288,Matteo,M,58,1944,2013,0.37113487654385613,0.04242660971312879
289,Zina,F,74,1940,2013,0.22706199765713894,0.04185774489683887
290,Suzette,F,74,1940,2013,0.9208340388032905,0.0408303957458847
291,Tamra,F,74,1940,2013,0.780139201163493,0.040732009575976814
292,Anitra,F,71,1942,2013,0.27068020676615034,0.04061195042475322
293,Ariella,F,46,1967,2013,0.331878780965506,0.04025036996942354
294,Judi,F,70,1940,2013,0.5988769738392561,0.04009027963735129
295,Abbey,F,72,1942,2013,0.9345017613958723,0.04005569434007397
296,Jan,M,74,1940,2013,1.0870230720445881,0.03992725020147114
297,Jaiden,F,23,1991,2013,0.41422123137480193,0.03977692051026228
298,Nanette,F,74,1940,2013,0.8608703730648256,0.03881381252824769
299,Uriel,M,64,1944,2013,0.7042622883444594,0.03870693301097204
300,Anaya,F,32,1978,2013,0.46830661724819284,0.03847855986304601
301,Michael,F,74,1940,2013,1.2241747527992664,0.03821234814536334
302,Javon,M,47,1960,2013,0.7859991655080372,0.03817401477813479
303,Davis,M,74,1940,2013,1.1536905838325047,0.037761879665820244
304,Elisha,F,66,1940,2013,0.7649571170620568,0.03753441658985065
305,Ellis,M,74,1940,2013,1.1212994347645342,0.03736530583891152
306,Nettie,F,74,1940,2013,0.49556300741735393,0.03725990973655669
307,Ari,M,56,1958,2013,0.5522816717403337,0.03719007602057637
308,Melina,F,68,1940,2013,0.7894641074654343,0.037166889704389514
309,Jadon,M,41,1973,2013,0.4416715354067227,0.036841010086932115
310,Solomon,M,74,1940,2013,1.075637295862683,0.036655735847866945
311,Polly,F,74,1940,2013,1.053226230979567,0.03638526396809292
312,Shayna,F,56,1957,2013,0.859307425265255,0.03611822449850619
313,Zara,F,69,1940,2013,0.33582360551046675,0.035989243534892294
314,Ruthie,F,74,1940,2013,0.6724009177283755,0.03507329531539727
315,Eve,F,74,1940,2013,1.0474158927579618,0.034837587741775734
316,Jaydon,M,25,1979,2013,0.3819110951780525,0.034822918635669387
317,Juwan,M,44,1970,2013,0.18387535487392292,0.034023517097480825
318,Marlo,F,73,1941,2013,0.3646468046637793,0.03392260269309998
319,Anika,F,48,1961,2013,0.6743210059069635,0.03376906490245692
320,Ibrahim,M,50,1954,2013,0.44341256632534837,0.03371686489796507
321,Ariel,M,70,1942,2013,0.8207542461847075,0.03293045928829602
322,Selah,F,43,1962,2013,0.28123908410242293,0.032650899098447025
323,Mireya,F,62,1951,2013,0.43392778739679166,0.032592594295778654
324,Janae,F,66,1947,2013,0.8816648038244088,0.032461198121328826
325,Elsa,F,74,1940,2013,1.0812953584720948,0.03224636220726349
326,Gianni,M,50,1962,2013,0.3888467934554195,0.0320089540279347
327,Sammie,M,74,1940,2013,0.7209726776643657,0.03185372534455602
328,Adriel,M,56,1952,2013,0.34515075078881724,0.03174397924293524
329,Moses,M,74,1940,2013,1.3453910104214055,0.031472636172585465
330,Josh,M,74,1940,2013,0.7779038785704002,0.03146701112978648
331,Zaria,F,25,1982,2013,0.39962002383178097,0.031303837916663454
332,Tamera,F,74,1940,2013,0.7862406354815568,0.031037016392611923
333,Noe,M,74,1940,2013,0.9772089499145216,0.031033511178581566
334,Dee,F,65,1940,2012,0.8026763402267085,0.030968285221466465
335,Johan,M,62,1941,2013,0.42805835276391213,0.030947532953633592
336,Addie,F,74,1940,2013,0.6885105659651527,0.03052513731938565
337,Jarred,M,48,1966,2013,0.6856851506947921,0.030350364204370456
338,Marnie,F,74,1940,2013,0.3325157760768361,0.03023221900930797
339,Evie,F,74,1940,2013,0.34926398413405163,0.02988546783137456
340,Tobias,M,74,1940,2013,0.7422599905203963,0.029549011550831512
341,Abbie,F,74,1940,2013,0.8424176802989096,0.02936698263567573
342,Davon,M,51,1961,2013,0.6148326305515139,0.029362674603047194
343,Moriah,F,45,1968,2013,0.5977979278988436,0.029355426515573452
344,Rena,F,74,1940,2013,1.2073017419852048,0.029290200800598822
345,Leia,F,58,1949,2013,0.3507475830411349,0.028906560407225487
346,Dalia,F,74,1940,2013,0.5999494037948596,0.028852494284124796
